ncbi_id,canonical_name,eol_image,eol_image_attribution
8519,Sceloporus occidentalis,https://calphotos.berkeley.edu/imgs/512x768/0000_0000/0512/2405.jpeg,CalPhotos
8839,Anas platyrhynchos,http://www.boldsystems.org/pics/GBIR/duck001+1357750822.jpg,Barcode of Life Data Systems
9031,Gallus gallus,https://static.inaturalist.org/photos/1287759/original.jpg?1413778295,iNaturalist
9913,Bos taurus,https://static.inaturalist.org/photos/5988413/original.jpg?1483956633,iNaturalist
41694,Stylaria lacustris,http://www.boldsystems.org/pics/ANCN/08bbann-113+1281095550.jpg,Barcode of Life Data Systems
96446,Lecane bulla,http://www.rotifera.hausdernatur.at/Rotifer_data/images/automontage/_full-size/Lecane%20bulla_Montage.jpg,Rotifers of the World
104782,Adineta vaga,"http://www.rotifera.hausdernatur.at/Rotifer_data/images/typescan/_full-size/Callidina%20vaga%20Davis,%201873.jpg",Rotifers of the World
104859,Ophiderma definita,http://www.boldsystems.org/pics/SIHET/ccdb-21318-h07+1387379124.jpg,Barcode of Life Data Systems
143726,Malenka californica,http://www.boldsystems.org/pics/BKSTO/BIOUG00641-F02+1314813232.jpg,Barcode of Life Data Systems
172808,Bittacus pilicornis,http://www.boldsystems.org/pics/INRMA/IMG_0907+1345228690.jpg,Barcode of Life Data Systems
184520,Staurastrum arctiscon,https://farm8.staticflickr.com/7281/9420938859_56fb406f1f_o.jpg,Flickr
231347,Arhynchite pugettensis,http://images.marinespecies.org/resized/80788_arhynchite-pugettensis.jpg,World Register of Marine Species
231602,Paracatenula cf. erato,http://images.marinespecies.org/resized/121207.jpg,World Register of Marine Species
231622,Lepadella patella,https://farm5.staticflickr.com/4306/35912573085_c7d84df1f9_o.jpg,Flickr
311461,Hirudo verbana,https://upload.wikimedia.org/wikipedia/commons/c/c3/Hirudo_verbana.jpg,Wikimedia Commons
360682,Mytilina ventralis,http://www.boldsystems.org/pics/AGROT/ECOCHZAG0340+1276380422.jpg,Barcode of Life Data Systems
360698,Proales similis,http://www.rotifera.hausdernatur.at/Rotifer_data/images/automontage/_full-size/Proales%20similis_Montage.jpg,Rotifers of the World
662016,Phialella quadrata,http://www.discoverlife.org/mp/20p?img=I_MWS95352&res=mx,"BioImages, the virtual fieldguide, UK"
1143074,Neobisnius villosulus,http://www.boldsystems.org/pics/CNTIE/BIOUG21765-G11+1450333140.jpg,Barcode of Life Data Systems
1234259,Philodina megalotrocha,http://www.rotifera.hausdernatur.at/Rotifer_data/images/automontage/_full-size/Philodina%20megalotrocha_Montage.jpg,Rotifers of the World
1249486,Calycolpus moritzianus,https://farm8.staticflickr.com/7314/10841147024_8235cab24e_o.jpg,Flickr
1887096,Cricotopus infuscatus,http://www.boldsystems.org/pics/BBDIQ/08BBDIP-0005+1273581112.jpg,Barcode of Life Data Systems
