ncbi_id,canonical_name,eol_id,inat_id,eol_image,eol_image_attribution,inat_image,inat_image_attribution
360682,Mytilina ventralis,,,http://www.boldsystems.org/pics/AGROT/ECOCHZAG0336+1276380422.jpg,Barcode of Life Data Systems,,
1887096,Cricotopus infuscatus,,,http://www.boldsystems.org/pics/BBDIQ/08BBDIP-0005+1273581112.jpg,Barcode of Life Data Systems,,
143726,Malenka californica,,,http://www.boldsystems.org/pics/BKSTO/BIOUG00641-F01+1314813144.jpg,Barcode of Life Data Systems,,
9913,Bos taurus,,,http://www.boldsystems.org/pics/GBMA/cow003+1357747154.jpg,Barcode of Life Data Systems,,
172808,Bittacus pilicornis,,,http://www.boldsystems.org/pics/INRMA/IMG_0907+1345228690.jpg,Barcode of Life Data Systems,,
231622,Lepadella patella,,,https://farm5.staticflickr.com/4306/35912573085_c7d84df1f9_o.jpg,Flickr,,
184520,Staurastrum arctiscon,,,https://farm8.staticflickr.com/7281/9420938859_56fb406f1f_o.jpg,Flickr,,
1249486,Calycolpus moritzianus,,,https://farm8.staticflickr.com/7314/10841147024_8235cab24e_o.jpg,Flickr,,
311461,Hirudo verbana,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Hirudo_verbana2.jpg,Wikimedia Commons,,
104859,Ophiderma definita,12034152,,,,https://static.inaturalist.org/photos/1006814/medium.jpg?1444260050,"(c) Bill Keim, all rights reserved"
96446,Lecane bulla,,,,,https://static.inaturalist.org/photos/4208896/medium.jpg?1467932246,"(c) Matthew Rossi, all rights reserved"
576378,Gemmabryum dichotomum,,,,,https://static.inaturalist.org/photos/13148179/medium.jpeg?1517062609,"(c) Jeremy Barker, some rights reserved (CC BY-NC)"
