"This software and accompanying CALeDNA kit is for research purposes only.  Under no circumstances shall the CALeDNA Program nor the University of California be held liable for direct, indirect, special, incidental or consequential loss or damages resulting from the use, misuse, or inability to use this software & kit.";"1. Plan and pack appropriately especially food, water, first aid kit, clothing. 2. Don’t hike at dawn or dusk 3. Make low level noise to avoid wild animals e.g. bears, rattle snakes. 4. Stay on paths until you get to a sampling site. 5. Be aware of dangers & how to avoid e.g. Giardia, poison oak, ticks. 6. Keep emergency numbers handy 7. Leave no trace.";"Enter the sampling date and time";"Where are you? ";"Where are you? /UC Natural Reserve";"Where are you? /Somewhere else";"Where are you? /Coachella Valley MSHCP site";"If at a UC Natural Reserve, select which one";"If at a CVMSHCP site, select which one ";"On your trip you'll choose a site to sample, and fill three tubes of soil from a foot apart from each other.";" The three tubes have a kit number (e.g. K0501) and letters and numbers after a dash (e.g. -A1). Enter the KIT number beginning with K.";"Select the match for the letters and numbers after the dash on your tubes.";"Now walk to the location and choose your place to sample";"Get the GPS Location of this site (you may need to put your phone in airplane mode to make this more accurate)";"_Get the GPS Location of this site (you may need to put your phone in airplane mode to make this more accurate)_latitude";"_Get the GPS Location of this site (you may need to put your phone in airplane mode to make this more accurate)_longitude";"_Get the GPS Location of this site (you may need to put your phone in airplane mode to make this more accurate)_altitude";"_Get the GPS Location of this site (you may need to put your phone in airplane mode to make this more accurate)_precision";"Confirm that the label on the tubes match the name you entered in this form.";"PUT ON FRESH GLOVES. YOU WILL NOW COLLECTING THE SAMPLES";"Avoiding large debris away, fill  3 tubes with soil or sediment from where you're standing. The tubes should be sampled from about a foot apart from each other. These are biological replicates. Screw lids on tight, and place the three tubes back in their whirlpack.";"What type of substrate did you sample? Soil or Sediment.";"Describe the habitat you are sampling from";"What depth are your samples from?";"(optional) Choose from common environmental features to describe where you sampled from. ";"(optional) Choose from common environmental features to describe where you sampled from. /Enclosed water";"(optional) Choose from common environmental features to describe where you sampled from. /Estuary (partially enclosed)";"(optional) Choose from common environmental features to describe where you sampled from. /Open water";"(optional) Choose from common environmental features to describe where you sampled from. /Reef";"(optional) Choose from common environmental features to describe where you sampled from. /Elevated ridge";"(optional) Choose from common environmental features to describe where you sampled from. /Slope/slant";"(optional) Choose from common environmental features to describe where you sampled from. /Basin/wash";"(optional) Choose from common environmental features to describe where you sampled from. /Rock mound";"(optional) Choose from common environmental features to describe where you sampled from. /Pit or ravine";"(optional) Choose from common environmental features to describe where you sampled from. /Flat land/terrace";"(optional) Choose from common environmental features to describe where you sampled from. /Rocky shore";"(optional) Choose from common environmental features to describe where you sampled from. /Beach";"(optional) Choose from common environmental features to describe where you sampled from. /Kelp forest";"(optional) Choose from common environmental features to describe where you sampled from. /Other";"If other, describe the environmental feature";"Describe the environmental setting by making selections from this list.";"Describe the environmental setting by making selections from this list./On roadside";"Describe the environmental setting by making selections from this list./On trail";"Describe the environmental setting by making selections from this list./Near (<5m) road or trail";"Describe the environmental setting by making selections from this list./Near (<5m) buildings";"Describe the environmental setting by making selections from this list./On farm";"Describe the environmental setting by making selections from this list./On garden";"Describe the environmental setting by making selections from this list./On manmade landscape";"Describe the environmental setting by making selections from this list./Near (<2m) stagnant water";"Describe the environmental setting by making selections from this list./Near (<2m) moving water";"Do you have a green soil three-way meter";"If you have a meter, take out the soil meter (if provided). Stick it about 2 inches in the ground, wait 5 minutes, and record the following:";"Light";"pH";"Moisture";"Take a photo of the environment you sampled";"(*Optional*) Regarding this site you just visited, do you have any comments or concerns to share with us?";"Thank you for collecting for CALeDNA!";"You can SUBMIT now or save as draft, then reload the form by pressing the number in the upper left corner of the form when connected to wifi, and then scroll to the bottom, uncheck 'save as draft' and press the SUBMIT button. Make sure the data are submitted by checking that the upper left number says 0 and no more unsubmitted forms are saved.";"_id";"_uuid";"_submission_time";"_validation_status";"_index"
"";"OK";"2019-11-24T12:00:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Fort Ord Natural Reserve";"";"";"K0776";"L7";"";"36.680917 -121.773791 2.6 3.21";"36.680917";"-121.773791";"2.6";"3.21";"OK";"";"";"Soil";"Terrestrial habitat, not submerged";"Top layer (top 3cm) soil or sediment";"Flat land/terrace";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"Near (<5m) road or trail";"0";"0";"1";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"image-11_54_22.jpg";"";"";"";"41612456";"d3a576ad-4b14-4017-b54d-22fc4007fcf1";"2019-11-25T00:59:13";"";"1"
"";"OK";"2019-11-24T13:15:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Fort Ord Natural Reserve";"";"";"K0618";"C3";"";"36.680982 -121.775623 42.27396844660821 8.711938683338152";"36.680982";"-121.775623";"42.27396844660821";"8.711938683338152";"OK";"";"";"Soil";"Terrestrial habitat, not submerged";"Top layer (top 3cm) soil or sediment";"Other";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Under oak logs";"Near (<5m) road or trail";"0";"0";"1";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"image-13_12_27.jpg";"";"";"";"41611487";"e309e6d8-0b48-4f4f-8c59-e64104e42586";"2019-11-24T23:46:37";"";"2"
"";"OK";"2019-11-24T12:00:00.000-08:00";"Somewhere else";"0";"1";"0";"";"";"";"K0691";"M8";"";"34.032265 -118.684923 0 26.5939998626709";"34.032265";"-118.684923";"0";"26.5939998626709";"OK";"";"";"Sediment";"Frequently submerged or intertidal or marsh";"Top layer (top 3cm) soil or sediment";"Other";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Malibu lagoon _ island next to tide level bridge";"Near (<2m) stagnant water";"0";"0";"0";"0";"0";"0";"0";"1";"0";"No";"";"";"";"";"IMG_20191124_120011-12_3_11.jpg";"Island Near tidal level bridge";"";"";"41610612";"b42bb8da-0573-439b-9896-c4c83d2a7e41";"2019-11-24T23:08:51";"";"3"
"";"OK";"2019-11-24T12:00:00.000-08:00";"Somewhere else";"0";"1";"0";"";"";"";"K0805";"T9";"";"34.032543 -118.685504 -30.299999237060547 50.22800064086914";"34.032543";"-118.685504";"-30.299999237060547";"50.22800064086914";"OK";"";"";"Soil";"Terrestrial habitat, not submerged";"Top layer (top 3cm) soil or sediment";"Other";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Lagoon";"Near (<5m) road or trail";"0";"0";"1";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"IMG_20191124_115649-11_57_0.jpg";"";"";"";"41610610";"22ff36d6-0aa1-4722-8471-34b27993699b";"2019-11-24T23:08:47";"";"4"
"";"OK";"2019-11-24T13:00:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Fort Ord Natural Reserve";"";"";"K0771";"K6";"";"36.679927 -121.776963 47.73017883300781 5";"36.679927";"-121.776963";"47.73017883300781";"5";"OK";"";"";"Soil";"Terrestrial habitat, not submerged";"Top layer (top 3cm) soil or sediment";"Elevated ridge";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Near (<5m) road or trail";"0";"0";"1";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"image-12_57_6.jpg";"Site of Ericameria fasciculata";"";"";"41695431";"c836087b-7979-443f-9851-64480dd289e6";"2019-11-25T21:10:20";"";"5"
"";"";"2019-11-24T12:32:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Fort Ord Natural Reserve";"";"";"K0571";"A1";"";"36.67817 -121.773654 39.69413757324219 5";"36.67817";"-121.773654";"39.69413757324219";"5";"OK";"";"";"Soil";"Terrestrial habitat, not submerged";"Top layer (top 3cm) soil or sediment";"Flat land/terrace";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"Near (<5m) road or trail";"0";"0";"1";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"image-12_34_40.jpg";"Habitat for endangered sand Gilia and ssc phinosoma blainvillei";"";"";"41695427";"5c3480b9-efcc-4750-88fb-71c71714b403";"2019-11-25T21:10:10";"";"6"
"";"OK";"2019-12-07T11:15:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Emerson Oaks Reserve";"";"";"K0693";"K6";"";"33.468929 -117.042861 367.7403564453125 15.008000373840332";"33.468929";"-117.042861";"367.7403564453125";"15.008000373840332";"OK";"";"";"Soil";"Terrestrial habitat, not submerged";"Top layer (top 3cm) soil or sediment";"Slope/slant Basin/wash";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"";"On trail";"0";"1";"0";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"";"Slope, moss and lichen, lots of quail, sage scrub";"";"";"42722837";"e143efb6-664d-4df1-bb49-b5e997182e15";"2019-12-10T01:23:55";"";"7"
"";"OK";"2019-12-07T11:00:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Emerson Oaks Reserve";"";"";"K0661";"E4";"";"33.468929 -117.042861 367.7403564453125 15.008000373840332";"33.468929";"-117.042861";"367.7403564453125";"15.008000373840332";"OK";"";"";"Soil";"Terrestrial habitat, not submerged";"Top layer (top 3cm) soil or sediment";"Slope/slant";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"";"On trail";"0";"1";"0";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"";"Slope, sage scrub, steep";"";"";"42722836";"c6beaed0-3967-4799-98db-159a71614445";"2019-12-10T01:23:54";"";"8"
"";"OK";"2019-12-07T10:45:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Emerson Oaks Reserve";"";"";"K0662";"B2";"";"33.468929 -117.042861 367.7403564453125 15.008000373840332";"33.468929";"-117.042861";"367.7403564453125";"15.008000373840332";"OK";"";"";"Soil";"Rarely submerged or wetland or arroyo";"Top layer (top 3cm) soil or sediment";"Basin/wash";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"";"Near (<5m) road or trail";"0";"0";"1";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"";"Upstream of culvert, oak, invasive ice plant adjacent, gravel/sand";"";"";"42722835";"43236da8-dda6-4754-acd5-a354c73db96b";"2019-12-10T01:23:54";"";"9"
"";"OK";"2019-11-23T11:15:00.000-08:00";"UC Natural Reserve";"1";"0";"0";" Younger Lagoon Reserve";"";"";"K0776";"B2";"";"36.949365 -122.066945 7.891902923583984 5";"36.949365";"-122.066945";"7.891902923583984";"5";"OK";"";"";"Soil";"Frequently submerged or intertidal or marsh";"Top layer (top 3cm) soil or sediment";"Estuary (partially enclosed)";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Near (<2m) stagnant water";"0";"0";"0";"0";"0";"0";"0";"1";"0";"No";"";"";"";"";"";"";"";"";"41558569";"65308d94-b5ad-45c7-95de-e6a748dc1d23";"2019-11-23T21:30:35";"";"10"
