"taxon_id","canonical_name","zone","sand_type","habitat_type","median_tide_line","protected","location_in_harbor","location"
891395,"Nusuttodinium poecilochroum","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1076758,"Parvamoeba rugata","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point exposed unprotected"
1027575,"planctomycete DDSW3022","Marsh_runoff","silt","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
33829,"Spirotrichea","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
6548,"Mytilus","Unprotected_tidepool","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
1871,"Actinoplanes sp.",,,,,,,
1760,"Actinobacteria","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
1288125,"Kofleria sp. DSM 53797","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
356614,"Cytophaga sp. AN-BI4","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
1008,"Saprospira grandis","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
45098,"Thaumatomastigidae",,,,,,,
111500,"Muricauda","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
31380,"Ceramium","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point exposed unprotected"
1335090,"Geobacter sp. enrichment culture clone GBS2","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","Low","No","Inside","Pillar Point embankment unprotected"
2289,"Desulfobacter","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
320149,"alpha proteobacterium endosymbiont 2 of Inanidrilus makropetalos","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
258899,"Protoblastenia terricola","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
1564516,"Phaeodactylibacter luteus","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point exposed unprotected"
88560,"Cyrtolophosidida",,,,,,,
204455,"Rhodobacterales","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
1853227,"Rubricoccaceae","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
1960326,"Nostoc sp. SJILZ12","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
978,"Cytophaga","Unprotected_outer_beach","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
1654807,"Cunea","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point SMCA"
1027583,"planctomycete DDSe3004","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1220491,"Litorimonas cladophorae","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point SMCA"
392009,"Zeaxanthinibacter enoshimensis","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","Low","No","Inside","Pillar Point embankment unprotected"
265570,"Sulfurovum","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
1003142,"Triceratium dubium","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point SMCA"
748858,"Verrucomicrobiaceae bacterium DC2c-37",,,,,,,
1513335,"Deviata bacilliformis","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
80840,"Burkholderiales","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
48073,"Microbulbifer","Unprotected_outer_beach","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
255427,"cf. Shewanella sp. H260","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1835722,"Lewinella aquimaris","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
665868,"Thioprofundum","Marsh_runoff","silt","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
1641808,"Haplosporidium diporeiae","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
432006,"Erythrobasidiales","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
980251,"Mariniblastus fucicola","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point exposed unprotected"
747561,"Flavobacteriaceae bacterium L-1-11","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point exposed unprotected"
121133,"Nostocoida limicola III",,,,,,,
313997,"Cochliopodium minus","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
437505,"Granulosicoccus antarcticus","Marsh_runoff","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
518753,"Luteolibacter","Unprotected_tidepool","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
3026,"Chordaria flagelliformis","Unprotected_outer_beach","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
497805,"Plesiocystis sp. SIS-2","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
1692004,"Enhygromyxa sp. SIS-1","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
44672,"Pelobacter venetianus","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
72276,"Ectothiorhodospiraceae","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
349742,"Sedimenticola","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
775,"Rickettsiaceae","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
914780,"Desulfobulbaceae bacterium enrichment culture clone MS_OIL_U13","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
467092,"Acidimicrobidae bacterium YM18-244","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
352446,"Orthodonellidae","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
1316451,"gamma proteobacterium alk8","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
200643,"Bacteroidia","Unprotected_outer_beach","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
403,"Methylococcaceae","Unprotected_tidepool","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
857294,"Adula","Marsh_runoff","silt","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
216727,"Achnanthes","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point exposed unprotected"
185982,"Nitzschia cf. promare","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1452547,"Mazzaella sp. 1oregona","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1963410,"Pleomorphomonas sp. SM-2017","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
444432,"Anderseniella","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","Low","No","Inside","Pillar Point embankment unprotected"
155909,"Flavobacteriaceae bacterium SA-0082","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1265703,"Mariniflexile sp. KMM 6695","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
914492,"planctomycete enrichment culture clone LiUU-12-2","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
37897,"Chthamalidae","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
191,"Azospirillum","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
1798018,"Candidatus Fluviicola riflensis","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
56804,"Glaciecola punicea","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point exposed unprotected"
694315,"Kofleria flava","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
1035120,"Deferrisoma camini","Unprotected_outer_beach","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
114742,"Pythium insidiosum",,,,,,,
35804,"Rhodovulum adriaticum","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
998,"Flexibacter flexilis",,,,,,,
645467,"Desulfosarcina sp. SD1","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
302224,"beta proteobacterium Schreyahn_AOB_SSU_Salic_1","Marsh_runoff","silt","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
441118,"alpha proteobacterium B27","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
1503934,"Graphium","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
137,"Spirochaetaceae","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
564137,"Roseicitreum antarcticum","Unprotected_outer_beach","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
1737490,"Agarilytica rhodophyticola","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
745714,"Oceanibacterium hippocampi","Marsh_runoff","silt","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
199555,"Exogone","Marsh_runoff","silt","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
1047142,"Scolecobasidium excentricum",,,,,,,
1495100,"Rhynchospio glutaea","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point exposed unprotected"
52959,"Polaribacter","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
995,"Solitalea canadensis","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point SMCA"
939621,"delta proteobacterium SCGC AAA240-M22","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
1086013,"Gemmobacter megaterium","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","Low","No","Inside","Pillar Point embankment unprotected"
70994,"Lewinella","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
49252,"Eucampia antarctica","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
1908690,"Fimbriiglobus ruber",,,,,,,
476279,"Thiohalospira alkaliphila","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point SMCA"
431391,"Mayamaea atomus","Unprotected_outer_beach","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
2022749,"Sulfurimonas sp.","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
72293,"Helicobacteraceae","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
239368,"Engraulis mordax","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
2768,"Chondrus","Unprotected_outer_beach","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
965,"Oceanospirillum","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1762618,"Labrenzia sp. AU104_Ted2_MB","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
982,"Saccharicrinis fermentans","Unprotected_outer_beach","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
49231,"Actinocyclus curvatulus","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
641674,"Glaciecola sp. NF1-8","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point exposed unprotected"
856745,"Nitrospira sp. enrichment culture clone LPTV-S11","Unprotected_tidepool","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
747565,"Flavobacteriaceae bacterium S-2-13","Marsh_runoff","silt","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
29497,"Vibrio splendidus","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
429,"Methylobacter","Marsh_runoff","silt","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
213468,"Syntrophaceae","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
1392751,"Kordiimonas sp. CWH001","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
162027,"Haliangium","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
119060,"Burkholderiaceae","Marsh_runoff","silt","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
213421,"Desulfuromonadaceae","Unprotected_tidepool","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
16,"Methylophilus","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
195257,"Phyllodocidae","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
83,"Hyphomicrobium vulgare","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
133208,"Desulfomicrobium sp. La1.1","Marsh_runoff","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
1227950,"Sphingomicrobium marinum","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
641777,"Sphingopyxis sp. SC022","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
5959,"Blepharisma","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
89374,"Saprospiraceae","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point SMCA"
939192,"Actinobacteria bacterium SCGC AAA007-J07","Unprotected_outer_beach","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
1310421,"Reinekea marina","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1907202,"Roseobacter sp.","Unprotected_outer_beach","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
760710,"delta proteobacterium enrichment culture clone VNABa05","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point exposed unprotected"
261827,"Algibacter","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
